"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"MCHR1",6.62474139908411,-5.3259051475561,1.25781646246916,-4.23424665399996,2.29319143099375e-05,0.000237874054137279,"MCHR1"
"LINC00906",26.2335725682209,-4.61155039132023,0.673094468710271,-6.85126769821256,7.3198389969855e-12,2.05114866326104e-10,"LINC00906"
"CYP24A1",14.0876049307722,-4.32590664693737,0.857767767180282,-5.04321427366968,4.57776132046575e-07,6.61343440089385e-06,"CYP24A1"
"GRIN2A",5.80417114112773,-4.26407747502455,1.16687734169202,-3.6542636682288,0.000257921111081129,0.00204995118984347,"GRIN2A"
"LRRTM2",46.8075965458274,-4.21185023753344,0.528851947811463,-7.96413864969819,1.66378622014775e-15,7.1520020574359e-14,"LRRTM2"
"SLC14A1",53.4365283575179,-4.12478447879794,1.1297976633824,-3.65090547846339,0.000261317404823321,0.00207236663737086,"SLC14A1"
"CCL8",15.0228073646638,-4.04535569675162,0.812001089420502,-4.98195845973391,6.2943949129261e-07,8.82586829113637e-06,"CCL8"
"ADCY8",24.2886725181586,-4.02506001577833,0.729936162481799,-5.51426305842012,3.50244406018116e-08,6.24822149270734e-07,"ADCY8"
"VASH2",18.9609226599384,-3.94797074956822,0.65293593217058,-6.04649025279376,1.4803518403545e-09,3.20588695426772e-08,"VASH2"
"RAMP3",10.3540691139134,-3.77980875120121,0.988486732870126,-3.82383356853594,0.00013139262468489,0.00112520547127964,"RAMP3"
"VCAM1",508.170232439755,-3.69266017614538,0.190185627169421,-19.4160843335227,5.64321511384621e-84,6.77862999475207e-81,"VCAM1"
"CLUL1",6.77257079390926,-3.65752636915763,1.12894374625078,-3.23977734170039,0.00119623070312023,0.00777830559683157,"CLUL1"
"NA",4.80570736292125,-3.57842316117348,1.1960370847549,-2.99189983888067,0.00277247210085297,0.0159293374723115,NA
"LRRC25",9.24973728350207,-3.49437885757457,0.86712922790617,-4.02982478864463,5.58184428906625e-05,0.000525188879375434,"LRRC25"
"NA",5.68502072691573,-3.34714097634052,1.07558999823679,-3.11191158510907,0.00185880160378012,0.0113416482549645,NA
"BEGAIN",4.67312382142816,-3.31355932032253,1.13595712691939,-2.91697568666927,0.0035344332258119,0.0194393827419654,"BEGAIN"
"CCL7",14.1401639429426,-3.27093372257882,0.887709580741125,-3.68468899462368,0.000228982065597396,0.00184269712279316,"CCL7"
"SMTNL2",56.1464843859419,-3.25031627051735,0.38331548275435,-8.47948078476218,2.26201102118163e-17,1.1513252706116e-15,"SMTNL2"
"NR0B1",9.59291057680542,-3.19591711514045,0.896539901329021,-3.5647237902104,0.000364239560020945,0.00277969859909249,"NR0B1"
"SLITRK6",43.2170676125144,-3.19160308531703,0.45464576401984,-7.01997761311541,2.21903797706975e-12,6.66377104514045e-11,"SLITRK6"
"RSAD2",5.49820466671876,-3.14738751970196,1.24825993854693,-2.52141995629993,0.011688226417221,0.0521283325706655,"RSAD2"
"DGKB",8.39945250963307,-3.1187396984275,0.916563766584343,-3.40264345169324,0.000667373103542297,0.00473414511008862,"DGKB"
"LINC02473",7.00524593642463,-3.1123641834667,0.979655144859513,-3.1769997838505,0.00148807146884843,0.00935848925853786,"LINC02473"
"MMP10",7.56985625586309,-3.08794338544791,0.91852322904627,-3.36185660612439,0.00077420316607899,0.005379711780336,"MMP10"
"EGR2",17.0525886100554,-3.06704092505355,0.583714833272525,-5.25434809983938,1.48549688304748e-07,2.35613405270682e-06,"EGR2"
"FER1L6",243.276976467197,-3.05941937441893,0.25271049294148,-12.1064200334863,9.76644618644051e-34,1.58533177826383e-31,"FER1L6"
"WNT2",333.214688163837,-3.04184014365038,0.19137149156476,-15.894949236057,6.86840772116752e-57,3.43763806444434e-54,"WNT2"
"KANK4",6.00943529287507,-3.02665725079993,1.06002810040407,-2.85526133660627,0.00430014287320001,0.0230320969944464,"KANK4"
"LCTL",7.45189833914541,-3.00480312764165,0.918611976216896,-3.27102542252527,0.00107158276878829,0.00708542323964311,"LCTL"
"PPP1R1B",95.419786398675,-2.99860599124642,0.319477155046657,-9.38597938500018,6.23343976390939e-21,4.52879506718224e-19,"PPP1R1B"
"NA",4.72667105310731,-2.9575164281623,1.210729908565,-2.44275490944768,0.0145756321005339,0.0618811826549056,NA
"KCNS1",26.083748356193,-2.95306982526042,0.500438341062952,-5.90096637877101,3.61378551026361e-09,7.39922583226474e-08,"KCNS1"
"SH3GL3",11.2052805172293,-2.93265925532835,0.718382777772764,-4.08230729642575,4.45907820682931e-05,0.000430335678257367,"SH3GL3"
"AQP3",138.573185853026,-2.91965547500777,0.29919031311527,-9.75852274295694,1.69607701934768e-22,1.39542994221948e-20,"AQP3"
"SLC7A14",244.497326184804,-2.88290651160464,0.218489771097668,-13.1946978438452,9.41315435720471e-40,1.92734335463766e-37,"SLC7A14"
"GPR68",54.8129633903873,-2.8327176110932,0.412132336580844,-6.87332043535859,6.27244512691404e-12,1.77142502032503e-10,"GPR68"
"NPC1L1",17.5128244945455,-2.82284609839492,0.613510758661344,-4.60113544635184,4.20194065869112e-06,5.10867522188236e-05,"NPC1L1"
"ASIC2",7.4457878610527,-2.81679975632773,0.952713489828004,-2.95660740233274,0.00311043882719783,0.0174863921336819,"ASIC2"
"EFR3B",10.3958962831216,-2.80432477306194,0.716026734274471,-3.91650847492934,8.98406589694373e-05,0.000802552797873734,"EFR3B"
"TSLP",152.372544224853,-2.78260967676438,0.232981578917199,-11.9434750579715,7.02265855638744e-33,1.06331312494949e-30,"TSLP"
"NFE2",13.5287795433078,-2.77262519388874,0.615499537843695,-4.50467469659229,6.64746934311512e-06,7.77249205867932e-05,"NFE2"
"PRSS35",313.689977800113,-2.7562425815189,0.154888334478023,-17.7950301474122,7.72258138368927e-71,6.6259748272054e-68,"PRSS35"
"TNFSF15",26.8284864165412,-2.70896938484106,0.521517206425857,-5.19440078191589,2.05380268995751e-07,3.19012214376331e-06,"TNFSF15"
"RGS6",5.22400635191703,-2.69956006302872,0.981750504704296,-2.74974145680916,0.00596423029938567,0.0302118362480548,"RGS6"
"NA",4.68292960684825,-2.69506639932657,1.04390803577804,-2.58170864382502,0.00983125445797146,0.045443700057396,NA
"LFNG",16.4283478600928,-2.69125995960558,0.588873030965098,-4.57018715086154,4.87288855513395e-06,5.84551970615203e-05,"LFNG"
"KCNB2",6.47199887047192,-2.6859733011434,0.959115949547487,-2.80046776660387,0.00510286034064537,0.0266178251978315,"KCNB2"
"G0S2",42.1351059080251,-2.6792998721839,0.45818260998212,-5.84766818690142,4.98511701748182e-09,1.0006598880121e-07,"G0S2"
"KLHDC7B",7.00097638502584,-2.67694078031462,1.02222556562875,-2.61873785035703,0.00882557413975442,0.041660779368639,"KLHDC7B"
"AIF1L",93.2605268616648,-2.66916930692962,0.254030382582505,-10.5072837343097,7.99635160711733e-26,8.73201595497213e-24,"AIF1L"
"HSPA6",13.4570877569969,-2.646513993221,0.61000269094834,-4.33852839092661,1.43439957268858e-05,0.000155132121852958,"HSPA6"
"SP5",5.1926618902018,-2.64283915690615,1.01003126342255,-2.61659143891322,0.00888125732972865,0.0418669991562038,"SP5"
"ACSBG2",4.72177785879978,-2.63398161846454,1.05505221700582,-2.49654147539695,0.0125411001964338,0.0550330110422174,"ACSBG2"
"ADM2",58.7524136478217,-2.61942980239888,0.328913353757067,-7.96389010199193,1.66713334672166e-15,7.1520020574359e-14,"ADM2"
"LIF",153.121849690958,-2.60787966447195,0.271088249035799,-9.62003950280987,6.58058866032073e-22,5.24641798591411e-20,"LIF"
"HSD11B2",16.9409341878249,-2.60493041637026,0.684149238785835,-3.80754705068919,0.000140352041622617,0.00119061350562915,"HSD11B2"
"SIGLEC15",4.93641997830068,-2.59257485824399,0.986736038522388,-2.62742492118389,0.00860338250099016,0.0408366032410012,"SIGLEC15"
"ADCY1",353.799478277241,-2.58897794639092,0.249325210519186,-10.3839396786218,2.93411420436057e-25,3.03832584679131e-23,"ADCY1"
"NA",6.16993016683887,-2.58825067621241,0.987622924402458,-2.62068711879929,0.00877527579103201,0.04147768079822,NA
"SIPA1L2",119.855227839028,-2.58234230164196,0.270003819425788,-9.56409545292277,1.13186889806709e-21,8.86696252407512e-20,"SIPA1L2"
"TNFAIP6",322.731987785416,-2.57051061609537,0.442291116477048,-5.8118070210636,6.18020606776497e-09,1.22502698491737e-07,"TNFAIP6"
